meet_id,meet_name,meet_date,meet_country
53,1st Annual North Florida Open Powerlifting Championships,4/26/2015,USA
54,1st Annual Panhandle Powerlifting Meet,1/16/2016,USA
55,1st Annual Police PowerMeet,12/1/1979,USA
56,1st European Men's Classic Championships,3/21/2015,Czechia
57,1st European Women's Classic Championships,3/21/2015,Czechia
58,1st Mens Commonwealth Powerlifting Championships,9/5/2005,England
59,1st Ukrainian Open Cup South Palmyra,10/19/2013,Ukraine
60,1st Womens Commonwealth Powerlifting Championships,9/5/2005,England
61,2 MAN QUALIFIER,3/13/2015,USA
62,2. OPEN ENERGY ALHAURIN DE INICIACION,3/28/2015,Spain
63,2. Runde Bayernliga KDK,3/3/2018,Germany
64,2. Runde Bayernliga Kraftdreikampf,3/2/2019,Germany
65,2. Runde Bundesliga Kraftdreikampf,3/14/2015,Germany
66,2. Runde Bundesliga Kraftdreikampf,3/12/2016,Germany
67,2. Runde Bundesliga Kraftdreikampf,3/10/2018,Germany
68,2. Wettkampftag Bundesliga Kraftdreikampf,4/6/2019,Germany
69,21st Annual Battle of the Great Lakes,4/14/2018,USA
70,22nd St. Barbell,3/19/2016,USA
71,22nd Street Barbell Open,4/1/2017,USA
72,22nd Street Barbell Open,3/24/2018,USA
73,22nd Street Barbell Open,8/4/2018,USA
74,22nd Street Barbell Powerlifting Pro/Am,3/28/2015,USA
75,23rd Annual Louisiana State & Open Championships,3/16/2019,USA
76,23rd Del Valle Invitational Meet,2/24/2018,USA
77,24th Annual Del Valle Invitational,2/23/2019,USA
78,25th Mean Green Powerlifting Meet,2/20/2016,USA
79,26th Military National Championships,3/10/2018,USA
80,28. Erzgebirgsmeisterschaften im klassischen Bankdrücken & Kraftdreikampf,11/24/2018,Germany
81,2nd Annual Battle at the Beach,6/10/2017,USA
82,2nd Annual Beards and Bows,11/21/2015,USA
83,2nd Annual Bexar County Bar Bender,2/25/2012,USA
84,2nd Annual Bordertown Bash,4/29/2017,USA
85,2nd Annual Bourbon Barbell Bash,9/10/2016,USA
86,2nd Annual Boynton Barbell Raw Powerlifting Championship,5/14/2016,USA
87,2nd Annual Bulldog Invitational,2/4/2012,USA
88,2nd Annual Capital City Barbell Championships,3/31/2018,USA
89,2nd Annual Champion's Fall Classic,11/10/2018,USA
90,2nd Annual Chico LMQ Meet,2/17/2014,USA
91,2nd Annual Coalfield War Games,7/18/2015,USA
92,2nd Annual Colorado Fall Open,9/16/2017,USA
93,2nd Annual Cotulla Invitational,2/13/2010,USA
94,2nd Annual Eagle Strong Invitational,2/10/2018,USA
95,2nd Annual Eastern Tennessee Classic,6/4/2016,USA
96,2nd Annual Hardknox Powerlifting Meet,7/18/2015,USA
97,2nd Annual Hickory Classic,10/7/2017,USA
98,2nd Annual Holiday Havoc,12/9/2017,USA
99,2nd Annual Holland Invitational,2/5/2014,USA
100,2nd Annual I STEP Invitational Veterans Day Meet,11/10/2018,USA
101,2nd Annual IBC Bar Fight Powerlifting Championships,10/25/2014,USA
102,2nd Annual IBC Classic,6/27/2015,USA
103,2nd Annual Justin Maile Classic,7/15/2017,USA
104,2nd Annual Last Chance in Swamp Meet La Grulla Invitational,2/24/2018,USA
105,2nd Annual Lopez Inv. Meet,1/14/2017,USA
106,2nd Annual Mid Atlantic Classic,4/23/2016,USA
107,2nd Annual Mustache Mayhem,2/16/2019,USA
108,2nd Annual North Florida Open Championships,9/1/2018,USA
109,2nd Annual NOVA Open,7/29/2017,USA
110,2nd Annual Orlando Open Championships,12/16/2017,USA
111,2nd Annual Phoenix Task Force Powerlifting Festival,9/22/2018,USA
112,2nd Annual PowerBody Powerlifting Meet,3/19/2016,USA
113,2nd Annual Pulaski County Lifting for Heroes Powerlifting Meet,10/17/2015,USA
114,2nd Annual Raleigh Ruckus,1/7/2017,USA
115,2nd Annual RoHawk Powerlifting Meet,1/26/2019,USA
116,2nd Annual Route 66 Classic,7/9/2016,USA
117,2nd Annual Seguin Matador Meet,2/2/2012,USA
118,2nd Annual Sharyland Invitational Meet,2/18/2017,USA
119,2nd Annual Southwest Powerlifting Championship,2/16/2013,USA
120,2nd Annual Strode Station Open,3/11/2017,USA
121,2nd Annual Tennessee Open,1/13/2018,USA
122,2nd Annual Tuloso-Midway Invitatioal,1/26/2019,USA
123,2nd Annual Virginia is for Lifters,6/2/2018,USA
124,2nd Annual Virginia Open,3/19/2016,USA
125,2nd Annual Women's Meet,3/10/2018,USA
126,2nd Annual Yellowjacket Powerlifting Classic,1/23/2016,USA
127,2nd Croatian National Championships,6/28/2015,Croatia
128,2nd Frostbite Classic,2/7/2015,USA
129,2nd Piedmont Power Showcase,1/26/2019,USA
130,2nd Southwest Florida Championships,1/19/2019,USA
131,2nd Titan Power Cup,6/15/2014,Croatia
132,2XL Intro to Powerlifting,11/18/2017,USA
133,2XL Intro to Powerlifting,11/18/2018,USA
134,3. Runde Bundesliga Kraftdreikampf,4/11/2015,Germany
135,3. Runde Bundesliga Kraftdreikampf,4/9/2016,Germany
136,3. Runde Bundesliga Kraftdreikampf,4/8/2017,Germany
137,3. Runde Bundesliga Kraftdreikampf,4/7/2018,Germany
138,3. Runde Nordliga KDK,3/10/2012,Germany
139,30th Annual Bay State Open,10/28/2017,USA
140,30th Can-Am International Championships,5/13/2017,USA
141,31-6A Boys District Meet,2/3/2018,USA
142,318 Fitness Powerlifting Competition,5/21/2017,New Zealand
143,31st Alaska Powerlifting Championship,5/2/2015,USA
144,32nd Alaska State Championship,4/30/2016,USA
145,32nd Annual Florida State Powerlifting Championships,3/15/2014,USA
146,32nd Annual Men's National Powerlifting Championships,6/20/2014,USA
147,34th Annual New Jersey State Championships,8/5/2016,USA
148,35th Annual Florida State Championships,3/26/2017,USA
149,35th Annual Florida State Powerlifting Championship,5/28/2016,USA
150,35th Annual Open National Championship,5/19/2017,USA
151,36th Annual Florida State Championships,5/12/2018,USA
152,36th Florida Sunshine Games,6/13/2015,USA
153,36th Kazakhstan Powerlifting Championship,10/2/2013,Kazakhstan
154,37th Annual Florida State Championships,4/6/2019,USA
155,37th Annual Sunshine State Games,6/11/2016,USA
156,3º Open Nacional de Powerlifting,5/26/2018,Spain
157,3D Fit BarBellum,2/23/2019,USA
158,3rd Alaska State Fair Challenge,8/25/2016,USA
159,3rd Annual Beards and Bows,10/22/2016,USA
160,3rd Annual Bourbon Barbell Bash,9/9/2017,USA
161,3rd Annual Brahma Bash,2/26/2011,USA
162,3rd Annual Brooks Academy Meet,2/2/2019,USA
163,3rd Annual Capital City Barbell Championships,3/2/2019,USA
164,3rd Annual Connecticut Spring Classic,5/7/2016,USA
165,3rd Annual Cotulla Powerlifting Invitational,1/31/2011,USA
166,3rd Annual Coyote Classic,1/28/2017,USA
167,3rd Annual Dickinson Gator Meet,1/9/2016,USA
168,3rd Annual Eagle Strong Invitational,1/26/2019,USA
169,3rd Annual Eastern TN Powerlifting Classic,5/20/2017,USA
170,3rd Annual Edcouch Elsa Powerlifting Meet,2/6/2016,USA
171,3rd Annual Elite Sports & Fitness High School Open,2/7/2016,USA
172,3rd Annual Goliath Powerlifting Classic,7/15/2017,USA
173,3rd Annual Hickory Classic,10/3/2018,USA
174,3rd Annual IBC Bar Fight,10/24/2015,USA
175,3rd Annual IBC Classic,6/25/2016,USA
176,3rd Annual Lopez Inv. Meet,1/13/2018,USA
177,3rd Annual Merry Liftmas,12/16/2018,USA
178,3rd Annual Mid Atlantic Classic,4/22/2017,USA
179,3rd Annual Moody Invitational,1/16/2010,USA
180,3rd Annual New Mexico State Championship,3/16/2019,USA
181,3rd Annual NoVa Open,8/13/2016,USA
182,3rd Annual Orange Grove Invitational,2/2/2013,USA
183,3rd Annual Orlando Open Powerlifting Championships,3/10/2018,USA
184,3RD ANNUAL PEARLAND ISD BOYS POWERLIFTING MEET,1/30/2018,USA
185,3rd Annual Powerlifting for Pink,11/7/2015,USA
186,3rd Annual Raleigh Ruckus,1/6/2018,USA
187,3rd Annual Red White and Blue Championships,10/15/2016,USA
188,3rd Annual Route 66 Classic,7/22/2017,USA
189,3rd Annual Seguin Matador Invitational,1/29/2013,USA
190,3rd Annual Sharyland Snake Pit Invitational,2/17/2018,USA
191,3rd Annual Strode Station Open,3/10/2018,USA
192,3rd Annual Strong Box Pro-Am,2/11/2017,USA
193,3rd Annual Tennessee Open,1/13/2019,USA
194,3rd Annual Trailblazer,2/2/2019,USA
195,3rd Annual Virginia Open,3/4/2017,USA
196,3rd Annual Worcester Open,1/14/2018,USA
197,3rd Annual Yellow Jacket Powerlifting Classic,1/21/2017,USA
198,3rd Belarus Cup,11/30/2018,Belarus
199,3rd Frostbite Challenge,2/20/2016,USA
200,3rd Frostbite Challenge,2/25/2017,USA
201,3rd Powerbody USA Open,3/18/2017,USA
202,3rd Top of the World Powerlifting Challenge,9/26/2015,USA
203,3rd World University Powerlifting Cup,7/9/2018,Czechia
204,41º Campeonato Absoluto de España de Powerlifting Equipado y 10º RAW,4/5/2019,Spain
205,48th World Open Championships,11/5/2018,Sweden
206,4-in-1 Powerlifting Championship,7/24/2011,USA
207,4K Raw Cash Meet,3/2/2019,USA
208,4th American Open Powerlifting Championships,12/10/2005,USA
209,4th Annual Asa Chambless Powerlifting Classic,2/16/2013,USA
210,4th Annual Bar Fight,10/22/2016,USA
211,4th Annual Beards and Bows,10/14/2017,USA
212,4th Annual Bobcat Classic-Boys,1/14/2017,USA
213,4th Annual Bourbon Barbell Bash,6/16/2018,USA
214,4th Annual Chico Invitational,1/16/2016,USA
215,4th Annual Cotulla Powerlifting Meet,2/11/2012,USA
216,4th Annual Coyote Classic,1/20/2018,USA
217,4th Annual Elite High School Cup,2/12/2017,USA
218,4th Annual Goliath Strength International Powerlifting Classic,5/26/2018,USA
219,4th Annual IBC Classic,6/24/2017,USA
220,4th Annual Kern County High School PL Championship,4/29/2006,USA
221,4th Annual Lifting for a Miracle,2/28/2015,USA
222,4th Annual Lopez Invitational Meet,1/11/2019,USA
223,4th Annual Maryland State Championship,11/3/2018,USA
224,4th Annual Mid Atlantic Classic,3/17/2018,USA
225,4th Annual Milby Powerlifting Classic,1/18/2014,USA
226,4th Annual NoVa Open,4/22/2017,USA
227,4th Annual Orange Grove Invitational-Boys,2/8/2014,USA
228,4th Annual Orlando Open Championships,3/17/2019,USA
229,4th Annual Patriot Open,8/13/2016,USA
230,4th Annual Pearland Meet,2/12/2019,USA
231,4th Annual POWERBODY Open,3/24/2018,USA
232,4th Annual Raleigh Ruckus,1/5/2019,USA
233,4th Annual Red White and Blue Championships,10/14/2017,USA
234,4th Annual Ryan Moore New England High School Championships,3/9/2014,USA
235,4th Annual Seguin Invitational Power lifting Meet,1/30/2014,USA
236,4th Annual Viking Invitational,1/23/2016,USA
237,4th Annual Virginia Open,3/24/2018,USA
238,4th Annual Warrior Classic,5/21/2016,USA
239,4th Annual Wolverine Open Raw Championships,9/16/2017,USA
240,4th Annual World Gym Raw Powerlifting Championships,2/6/2016,USA
241,4th Bourbon Barbell Bash,3/2/2019,USA
242,4th European Men's Classic Powerlifting Cup,3/23/2018,Belarus
243,4th European Women's Classic Powerlifting Cup,3/23/2018,Belarus
244,4th Kentucky State Championship,12/1/2018,USA
245,4th Strong Box Pro/Am,2/10/2018,USA
246,4th Virginia State Championship,10/13/2018,USA
247,5 Bar Showdown,7/8/2017,USA
248,5 Bar Showdown,7/21/2018,USA
249,59 Bus Brewery Winter Classic,1/23/2016,USA
250,59th Iron Man Powerlifting and Benchpress Championships,12/8/2012,USA
251,5th Annual Asa Chambless Powerlifting Classic,2/15/2014,USA
252,5th Annual Bar Benders on the Bay,3/11/2017,USA
253,5th Annual Bar Fight,9/30/2017,USA
254,5th Annual Beards and Bows,10/13/2018,USA
255,5th Annual Central Florida Powerlifting Championships,7/23/2016,USA
256,5th Annual Cotulla Powerlifting Invitational,2/9/2013,USA
257,5th Annual High School Elite Cup,2/11/2018,USA
258,5th Annual HISD Powerlifting Classic,2/23/2013,USA
259,5th Annual Iron Classic,2/22/2019,USA
260,5th Annual Iron Wars,9/28/2013,USA
261,5th Annual Ironman Push/Pull Meet,5/10/2014,USA
262,5TH ANNUAL MOODY INVITATIONAL,1/14/2012,USA
263,5Th Annual Nova Open,4/14/2018,USA
264,5th Annual PowerbodyUSA Open,3/23/2019,USA
265,5th Annual Ryan Moore N.E. Open High School Championships,3/15/2015,USA
266,5th Annual Saint John's Raw High School Classic,1/13/2018,USA
267,5th Annual Winter Classic,2/25/2017,USA
268,5th Annual Wyoming State Powerlifting Championships,11/21/2015,USA
269,60th IronMan Powerlifting & Benchpress Championships,12/7/2013,USA
270,614 Show Down,10/7/2017,USA
271,614 Throw Down,1/15/2017,USA
272,6-3A District Meet,2/15/2014,USA
273,6th Annual Bar Fight,9/29/2018,USA
274,6th Annual Central Florida Open Championships,7/9/2017,USA
275,6th Annual East Side Classic,1/9/2010,USA
276,6th Annual High School Elite Cup,2/9/2019,USA
277,6th Annual HISD Last Qualifiers Meet,2/22/2014,USA
278,6th Annual Milby Powerlifting Classic,1/17/2015,USA
279,6th Annual Moody Invitational,1/12/2013,USA
280,6th Annual Ryan Moore New England Open High School Championship,3/13/2016,USA
281,6th Annual Scot Classic,2/20/2010,USA
282,6th Annual Smithville Invitational,1/29/2011,USA
283,6th Annual St. John's High School Classic,1/13/2019,USA
284,6th Annual Viking Invitational,1/20/2018,USA
285,6th Annual Whitney Meet,1/27/2010,USA
286,6th Annual Winter Classic,2/25/2018,USA
287,6th annual Yellowjacket Meet,1/30/2019,USA
288,6th IBC Classic & WV State Championship,3/23/2019,USA
289,6th Kazakhstan Sub-Juniors & Juniors Powerlifting Championships,7/1/2011,Kazakhstan
290,6th World Classic Championships,6/6/2018,Canada
291,7th Annual Central Florida Open Championships,7/15/2018,USA
292,7th Annual Columbia City Classic Powerlifting and BP/DL,10/24/2015,USA
293,7th Annual Eastside Powerlifting Meet,1/8/2011,USA
294,7th Annual Ironman Meet,5/30/2015,USA
295,7th Annual Ryan Moore New England States Open High School Championshp,3/12/2017,USA
296,7th Annual Smithville Invitational,1/28/2012,USA
297,7th Annual Viking Invitational,1/4/2019,USA
298,7th Annual Wildcat Invitational,1/29/2011,USA
299,7th Moody Invitational,1/11/2014,USA
300,8th Annual Battle on the Border,1/20/2018,USA
301,8th Annual Iron Wars,9/17/2016,USA
302,8th Annual New Caney Eagle Invitational,1/30/2010,USA
303,8th Annual Ryan Moore New England States High School Championships,3/11/2018,USA
304,8th Annual Southside Classic,1/15/2011,USA
305,8th Annual Tiger Powerlifting Meet,1/26/2013,USA
306,8th Annual Whitney Wildcat Invitational,1/28/2012,USA
307,920 Raw Open,7/16/2016,USA
308,920 Raw Open,3/18/2017,USA
309,920 Raw Open,4/7/2018,USA
310,9rd Annual Ryan Moore New England States Open High School Championship,3/10/2019,USA
311,9th Annual Iron Wars,9/30/2017,USA
312,9th Annual Jackrabbit Invitational,2/20/2016,USA
313,9th Annual Perrin Meet,1/28/2012,USA
314,9th Annual South Florida Open Powerlifting Championships,9/26/2015,USA
315,9th Annual Southside Classic,1/14/2012,USA
316,9th Annual Tiger Invitational,1/25/2014,USA
317,9th Annual Toro Powerlifting Meet,1/21/2012,USA
318,9th Annual Whitney Wildcat,2/9/2013,USA
319,A&M Consolidated- Part 2,2/7/2019,USA
320,Óskarsmót í kraftlyftingum,8/22/1989,Iceland
321,Åbne Hollandske Mester.,9/19/2004,Denmark
322,Åbne Thy,11/30/1996,Denmark
323,Åbne Thy,11/30/1997,Denmark
324,Åbne Thy,8/25/1999,Denmark
325,Åbne Thy,5/20/2000,Denmark
326,Åbne Thy,5/26/2001,Denmark
327,Åbne Thy,5/25/2002,Denmark
328,Åbne Thy,5/24/2003,Denmark
329,Åbne Thy,5/22/2004,Denmark
330,Åbne Thy,5/14/2005,Denmark
331,Åbne Thy,5/20/2006,Denmark
332,Åbne Thy,5/24/2008,Denmark
333,Åbne Thy,5/16/2009,Denmark
334,Åbne Thy,5/15/2010,Denmark
335,Åbne Thy,5/14/2011,Denmark
336,Åbne Thy Klassisk,5/14/2011,Denmark
337,ÅKK klubbtävling i klassisk styrkelyft,2/2/2019,Finland
338,ÅKK klubbtävling klassisk styrkelyft,3/14/2015,Finland
339,ÅKK Klubbtävling klassisk styrkelyft,2/27/2016,Finland
340,ÅKK klubbtävling klassisk styrkelyft,11/4/2017,Finland
341,ÅKK Klubbtävling styrkelyft,2/27/2016,Finland
342,Åländska mästerskap i klassisk styrkelyft,10/25/2014,Finland
343,Åländska mästerskap i klassisk styrkelyft,5/20/2017,Finland
344,Åländska mästerskap i klassiskt styrkelyft,9/15/2018,Finland
345,Åländska mästerskap i styrkelyft,5/28/2016,Finland
346,Åländska mästerskap klassisk styrkelyft,10/25/2015,Finland
347,Åländska mästerskap klassiskt sytrkelyft,5/28/2016,Finland
348,Åländska mästerskapen i styrkelyft,4/21/2018,Finland
349,Åländska masterskap i styrkelyft,4/25/2015,Finland
350,Åländska masterskap i styrkelyft,3/25/2017,Finland
351,Ålands Mesterskab,6/4/2005,Denmark
352,Ålandska mästerskap i styrkelyft,5/13/2014,Finland
353,Åpent,6/23/2006,Norway
354,Åpent,12/21/2012,Norway
355,Åpent,4/6/2013,Norway
356,Åpent,4/12/2013,Norway
357,Åpent,4/14/2013,Norway
358,Åpent julestevne,12/11/2010,Norway
359,Åpent klubbmesterskap,11/23/1985,Norway
360,Åpent klubbmesterskap,11/30/1991,Norway
361,Åpent stevne,4/27/1974,Norway
362,Åpent stevne,10/11/1974,Norway
363,Åpent stevne,12/4/1987,Norway
364,Åpent stevne,12/19/1987,Norway
365,Åpent stevne,12/14/1991,Norway
366,Åpent stevne,9/13/1997,Norway
367,Åpent stevne,12/6/1997,Norway
368,Åpent stevne,12/12/1998,Norway
369,Åpent stevne,12/27/1998,Norway
370,Åpent stevne,12/29/1999,Norway
371,Åpent stevne,1/10/2003,Norway
372,Åpent stevne,1/31/2004,Norway
373,Åpent stevne,10/9/2004,Norway
374,Åpent stevne,10/16/2004,Norway
375,Åpent stevne,12/18/2004,Norway
376,Åpent stevne,12/30/2004,Norway
377,Åpent stevne,2/18/2005,Norway
378,Åpent stevne,5/14/2005,Norway
379,Åpent stevne,6/17/2005,Norway
380,Åpent stevne,1/21/2006,Norway
381,Åpent stevne,6/3/2006,Norway
382,Åpent stevne,6/16/2006,Norway
383,Åpent stevne,6/24/2006,Norway
384,Åpent Stevne,9/16/2006,Norway
385,Åpent Stevne,10/2/2006,Norway
386,Åpent stevne,10/14/2006,Norway
387,Åpent stevne,12/16/2006,Norway
388,Åpent stevne,1/27/2007,Norway
389,Åpent stevne,4/14/2007,Norway
390,Åpent stevne,4/21/2007,Norway
391,Åpent stevne,5/12/2007,Norway
392,Åpent stevne,6/9/2007,Norway
393,Åpent stevne,6/11/2007,Norway
394,Åpent stevne,8/11/2007,Norway
395,Åpent stevne,8/24/2007,Norway
396,Åpent stevne,9/22/2007,Norway
397,Åpent stevne,12/15/2007,Norway
398,Åpent stevne,12/21/2007,Norway
399,Åpent stevne,2/9/2008,Norway
400,Åpent stevne,3/21/2008,Norway
401,Åpent stevne,4/14/2008,Norway
402,Åpent Stevne,4/21/2008,Norway
403,Åpent stevne,4/29/2008,Norway
404,Åpent stevne,4/30/2008,Norway
405,Åpent stevne,8/30/2008,Norway
406,Åpent stevne,9/13/2008,Norway
407,Åpent stevne,10/4/2008,Norway
408,Åpent stevne,10/11/2008,Norway
409,Åpent stevne,11/22/2008,Norway
410,Åpent stevne,12/13/2008,Norway
411,Åpent stevne,12/22/2008,Norway
412,Åpent stevne,1/17/2009,Norway
413,Åpent stevne,1/24/2009,Norway
414,Åpent stevne,4/4/2009,Norway
415,Åpent stevne,4/10/2009,Norway
416,Åpent stevne,4/20/2009,Norway
417,Åpent stevne,4/22/2009,Norway
418,Åpent stevne,4/25/2009,Norway
419,Åpent stevne,4/27/2009,Norway
420,Åpent stevne,5/30/2009,Norway
421,Åpent stevne,6/27/2009,Norway
422,Åpent stevne,8/29/2009,Norway
423,Åpent stevne,9/7/2009,Norway
424,Åpent stevne,9/12/2009,Norway
425,Åpent stevne,10/16/2009,Norway
426,Åpent stevne,10/17/2009,Norway
427,Åpent stevne,10/30/2009,Norway
428,Åpent stevne,12/2/2009,Norway
429,Åpent stevne,12/12/2009,Norway
430,Åpent stevne,12/19/2009,Norway
431,Åpent Stevne,12/22/2009,Norway
432,Åpent stevne,1/23/2010,Norway
433,Åpent stevne,2/20/2010,Norway
434,Åpent stevne,4/16/2010,Norway
435,Åpent stevne,4/17/2010,Norway
436,Åpent stevne,4/24/2010,Norway
437,Åpent stevne,5/8/2010,Norway
438,Åpent stevne,5/15/2010,Norway
439,Åpent stevne,6/9/2010,Norway
440,Åpent stevne,6/11/2010,Norway
441,Åpent stevne,6/12/2010,Norway
442,Åpent stevne,7/3/2010,Norway
443,Åpent stevne,9/11/2010,Norway
444,Åpent stevne,10/16/2010,Norway
445,Åpent stevne,10/29/2010,Norway
446,Åpent stevne,10/30/2010,Norway
447,Åpent stevne,11/13/2010,Norway
448,Åpent stevne,12/7/2010,Norway
449,Åpent stevne,12/11/2010,Norway
450,Åpent stevne,12/18/2010,Norway
451,Åpent stevne,12/22/2010,Norway
452,Åpent stevne,12/30/2010,Norway
453,Åpent stevne,1/15/2011,Norway
454,Åpent stevne,3/1/2011,Norway
455,Åpent stevne,3/4/2011,Norway
456,Åpent stevne,3/12/2011,Norway
457,Åpent stevne,3/19/2011,Norway
458,Åpent stevne,4/13/2011,Norway
459,Åpent stevne,4/15/2011,Norway
460,Åpent stevne,4/16/2011,Norway
461,Åpent stevne,4/22/2011,Norway
462,Åpent stevne,5/3/2011,Norway
463,Åpent stevne,5/28/2011,Norway
464,Åpent stevne,6/7/2011,Norway
465,Åpent stevne,6/10/2011,Norway
466,Åpent stevne,6/11/2011,Norway
467,Åpent stevne,6/18/2011,Norway
468,Åpent stevne,6/25/2011,Norway
469,Åpent stevne,7/1/2011,Norway
470,Åpent stevne,7/5/2011,Norway
471,Åpent stevne,7/16/2011,Norway
472,Åpent stevne,8/2/2011,Norway
473,Åpent stevne,9/3/2011,Norway
474,Åpent stevne,9/6/2011,Norway
475,Åpent stevne,9/17/2011,Norway
476,Åpent stevne,10/4/2011,Norway
477,Åpent stevne,10/10/2011,Norway
478,Åpent stevne,10/26/2011,Norway
479,Åpent stevne,10/29/2011,Norway
480,Åpent stevne,11/1/2011,Norway
481,Åpent stevne,11/2/2011,Norway
482,Åpent stevne,12/6/2011,Norway
483,Åpent stevne,12/10/2011,Norway
484,Åpent stevne,12/17/2011,Norway
485,Åpent stevne,12/18/2011,Norway
486,Åpent stevne,12/22/2011,Norway
487,Åpent stevne,1/3/2012,Norway
488,Åpent stevne,1/20/2012,Norway
489,Åpent stevne,1/25/2012,Norway
490,Åpent stevne,2/7/2012,Norway
491,Åpent stevne,2/9/2012,Norway
492,Åpent stevne,2/10/2012,Norway
493,Åpent stevne,3/6/2012,Norway
494,Åpent stevne,3/9/2012,Norway
495,Åpent stevne,4/3/2012,Norway
496,Åpent stevne,4/13/2012,Norway
497,Åpent stevne,4/18/2012,Norway
498,Åpent stevne,5/5/2012,Norway
499,Åpent stevne,5/25/2012,Norway
500,Åpent stevne,6/5/2012,Norway
501,Åpent stevne,6/6/2012,Norway
502,Åpent stevne,6/12/2012,Norway
503,Åpent stevne,6/13/2012,Norway
504,Åpent stevne,6/16/2012,Norway
505,Åpent stevne,7/3/2012,Norway
506,Åpent stevne,8/7/2012,Norway
507,Åpent stevne,8/18/2012,Norway
508,Åpent stevne,8/24/2012,Norway
509,Åpent stevne,8/25/2012,Norway
510,Åpent stevne,9/4/2012,Norway
511,Åpent stevne,9/22/2012,Norway
512,Åpent stevne,10/2/2012,Norway
513,Åpent stevne,10/16/2012,Norway
514,Åpent stevne,10/26/2012,Norway
515,Åpent stevne,11/6/2012,Norway
516,Åpent stevne,12/4/2012,Norway
517,Åpent stevne,12/8/2012,Norway
518,Åpent stevne,12/15/2012,Norway
519,Åpent stevne,12/22/2012,Norway
520,Åpent stevne,1/4/2013,Norway
521,Åpent stevne,1/26/2013,Norway
522,Åpent stevne,2/16/2013,Norway
523,Åpent stevne,3/9/2013,Norway
524,Åpent stevne,3/21/2013,Norway
525,Åpent stevne,3/29/2013,Norway
526,Åpent stevne,4/13/2013,Norway
527,Åpent stevne,4/19/2013,Norway
528,Åpent stevne,4/27/2013,Norway
529,Åpent Stevne,5/11/2013,Norway
530,Åpent stevne,6/13/2013,Norway
531,Åpent Stevne,6/15/2013,Norway
532,Åpent stevne,7/6/2013,Norway
533,Åpent stevne,7/22/2013,Norway
534,Åpent stevne,8/23/2013,Norway
535,Åpent stevne,9/27/2013,Norway
